metric,llm,vs,n_pairs,llm_mean,other_mean,wilcoxon_stat,p_value
regret,llm:gemma3:27b:L2,arima,8,0.08675371093419997,0.012715013947833823,4.0,0.7150006546880893
regret,llm:gemma3:27b:L2,last-seen,8,0.08675371093419997,0.00833856842574915,3.0,0.4652088184521418
regret,llm:gemma3:27b:L2,oracle,8,0.08675371093419997,0.0,0.0,0.06788915486182899
regret,llm:gemma3:27b:L2,random,8,0.08675371093419997,0.018123370644111667,3.0,0.4652088184521418
saved_pct_B,llm:gemma3:27b:L2,arima,8,0.4812605311939475,0.5123236652869609,8.0,0.1953125
saved_pct_B,llm:gemma3:27b:L2,last-seen,8,0.4812605311939475,0.4785889285987998,8.0,0.1953125
saved_pct_B,llm:gemma3:27b:L2,oracle,8,0.4812605311939475,0.46255564868458354,17.0,0.9453125
saved_pct_B,llm:gemma3:27b:L2,random,8,0.4812605311939475,0.35467916933217836,3.0,0.0390625
