policy,experiment_id,seed,filter_best_loss,real_best_loss,regret,rank_pct,num_runs,num_prunings,total_epochs,epochs_avoided,total_train_time,saved_time_A,saved_time_B,n_decisions,false_continues,false_prunes,llm_calls,input_tokens,output_tokens,total_latency_s,mean_confidence,saved_pct_A,saved_pct_B,found_best
llm:llama3.1:8b:L0,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,37,7353.651444196701,1664.3206604058003,1662.8091976057992,29,18,2,66,18822,396,34.24408189996029,1.0,0.2263257475603139,0.22612020847385178,False
llm:llama3.1:8b:L1,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,39,7353.651444196701,2113.349625106619,2111.557009806633,27,21,2,66,25158,396,39.90404299998772,1.0,0.2873877883856484,0.28714401625236335,False
llm:llama3.1:8b:L2,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,37,7353.651444196701,1467.060213244262,1465.1693327442665,29,13,4,66,28392,396,41.889876199973514,1.0,0.19950091792860614,0.1992437830189161,False
llm:llama3.1:8b:L3,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,37,7353.651444196701,1664.3206604058003,1662.3329930058178,29,15,2,66,34981,396,43.486400299938396,1.0,0.2263257475603139,0.22605545090360316,False
llm:gemma3:12b:L0,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,41,7353.651444196701,1813.1989008789303,1810.779400578939,25,15,2,66,19839,367,53.095468299870845,1.0,0.24657123262346856,0.24624221236484578,False
llm:gemma3:12b:L1,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,45,7353.651444196701,2330.0233025300404,2327.0462978300493,21,13,2,66,27429,377,66.4590210999304,1.0,0.31685256232382764,0.31644772879009514,False
llm:gemma3:12b:L2,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,60,7353.651444196701,2801.948821582714,2798.534643982711,6,0,2,66,31587,394,74.01834190014051,1.0,0.38102823377547146,0.38056395046997193,False
llm:gemma3:12b:L3,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,60,7353.651444196701,2801.948821582714,2798.0818406827448,6,0,2,66,40060,395,86.61213079991285,1.0,0.38102823377547146,0.3805023751691296,False
llm:gemma3:27b:L0,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,40,7353.651444196701,2150.5691852249015,2147.0243216249087,26,20,2,66,19839,365,78.77544439997291,1.0,0.29244915965143703,0.29196710476660964,False
llm:gemma3:27b:L1,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,36,7353.651444196701,1725.7313238682868,1720.5069129682847,30,21,2,66,27429,363,108.38077949997387,1.0,0.23467679111037912,0.2339663398550201,False
llm:gemma3:27b:L2,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,60,7353.651444196701,2801.948821582714,2796.3373341826946,6,0,2,66,31587,395,125.40422700005001,1.0,0.38102823377547146,0.3802651452006862,False
llm:gemma3:27b:L3,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,60,7353.651444196701,2801.948821582714,2795.056561182747,6,0,2,66,40060,391,152.73144239999237,1.0,0.38102823377547146,0.3800909768967264,False
llm:gemma4:31b:L0,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,41,7353.651444196701,1813.1989008789303,1729.801770660618,25,13,2,66,19839,32846,1573.1282310000388,1.0,0.24657123262346856,0.23523031840538622,False
llm:gemma4:31b:L1,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,41,7353.651444196701,1813.1989008789303,1706.5465728789338,25,13,3,66,27429,35985,1759.7393538999313,1.0,0.24657123262346856,0.23206791698370383,False
llm:gemma4:31b:L2,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,2,143,51,7353.651444196701,1639.0939178677168,1585.8695972357186,15,0,2,66,31587,31494,1573.072145899845,1.0,0.2228952419496636,0.21565743349003075,True
llm:gemma4:31b:L3,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,2,143,51,7353.651444196701,1639.0939178677168,1582.6838736357117,15,0,1,66,40060,32651,1670.6928880999621,1.0,0.2228952419496636,0.21522421692759483,True
llm:gpt-oss:20b:L0,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,43,7353.651444196701,1854.4196046841246,1837.5863365841653,23,12,3,66,22650,25398,305.641968299984,1.0,0.252176706872282,0.24988760352985426,False
llm:gpt-oss:20b:L1,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,39,7353.651444196701,1554.7867000533754,1539.8470779533693,27,11,4,66,28854,29088,348.039683099807,1.0,0.21143056777328903,0.20939897541221839,False
llm:gpt-oss:20b:L2,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,60,7353.651444196701,2801.948821582714,2778.0332644827713,6,0,2,66,32022,36082,423.99380669981474,1.0,0.38102823377547146,0.3777760321608823,False
llm:gpt-oss:20b:L3,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,60,7353.651444196701,2801.948821582714,2782.5337868827037,6,0,2,66,38611,31666,377.53204860011465,1.0,0.38102823377547146,0.37838804408911747,False
llm:gpt-oss:120b:L0,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,41,7353.651444196701,1813.1989008789303,1804.8589947789503,25,12,2,66,22650,11293,212.83272970010876,1.0,0.24657123262346856,0.24543711494556833,False
llm:gpt-oss:120b:L1,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,37,7353.651444196701,1664.3206604058003,1649.7018332058003,29,14,2,66,28854,12266,235.86594629992032,1.0,0.2263257475603139,0.22433777909173266,False
llm:gpt-oss:120b:L2,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,56,7353.651444196701,2285.1244199316043,2268.213942331631,10,0,3,66,32022,12486,240.00871319998987,1.0,0.3107469040751124,0.30844730125489467,False
llm:gpt-oss:120b:L3,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,6,2,143,51,7353.651444196701,1639.0939178677168,1630.3096257677194,15,0,3,66,38611,13934,267.12279970000964,1.0,0.2228952419496636,0.22170069361314573,True
llm:llama3.3:70b:L0,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.2,6,3,143,48,7353.651444196701,2408.463566453517,2403.2012769535368,18,12,2,66,18822,396,118.1644553001388,1.0,0.32751940783842975,0.32680380559104105,False
