policy,n,regret_mean,regret_median,regret_ci95,rank_pct_mean,found_best_rate,saved_pct_A_mean,saved_pct_A_ci95,saved_pct_B_mean,saved_pct_B_ci95,epochs_avoided_mean,false_continue_rate,false_prune_rate,prune_rate,mean_confidence,total_tokens,total_latency_s
arima,8,0.012715013947833823,0.010330211898082071,0.011845795182393377,0.125,0.375,0.5123236652869609,0.09156175295191572,0.5123236652869609,0.09156175295191572,202.875,0.1223021582733813,0.11151079136690648,0.6875,1.0,0,0.0
last-seen,8,0.00833856842574915,0.0,0.012732620061170477,0.056818181818181816,0.75,0.4785889285987998,0.10716907665586278,0.4785889285987998,0.10716907665586278,191.125,0.10275689223057644,0.03258145363408521,0.6354166666666666,1.0,0,0.0
llm:gemma3:12b:L2,8,0.1327788121046317,0.012529704935178465,0.15879586393895806,0.2727272727272727,0.25,0.5958614293769546,0.07400022554836788,0.5940734118779836,0.07402512348749679,226.125,0.0,0.32413793103448274,0.75,1.0,947886,2974.2258573992003
oracle,8,0.0,0.0,0.0,0.0,1.0,0.46255564868458354,0.09393199616974598,0.46255564868458354,0.09393199616974598,177.75,0.0761904761904762,0.04,0.6041666666666666,1.0,0,0.0
random,8,0.018123370644111667,0.004890259841899091,0.02526575898989044,0.06818181818181818,0.5,0.35467916933217836,0.10072916738432272,0.35467916933217836,0.10072916738432272,117.625,0.5848690591658584,0.019398642095053348,0.40625,1.0,0,0.0
