metric,llm,vs,n_pairs,llm_mean,other_mean,wilcoxon_stat,p_value
regret,llm:gemma3:12b:L2,arima,8,0.1327788121046317,0.012715013947833823,0.0,0.10880943004054569
regret,llm:gemma3:12b:L2,last-seen,8,0.1327788121046317,0.00833856842574915,0.0,0.043114446783075355
regret,llm:gemma3:12b:L2,oracle,8,0.1327788121046317,0.0,0.0,0.027707849358079864
regret,llm:gemma3:12b:L2,random,8,0.1327788121046317,0.018123370644111667,1.0,0.046399461870904594
saved_pct_B,llm:gemma3:12b:L2,arima,8,0.5940734118779836,0.5123236652869609,3.0,0.0390625
saved_pct_B,llm:gemma3:12b:L2,last-seen,8,0.5940734118779836,0.4785889285987998,6.0,0.109375
saved_pct_B,llm:gemma3:12b:L2,oracle,8,0.5940734118779836,0.46255564868458354,3.0,0.0390625
saved_pct_B,llm:gemma3:12b:L2,random,8,0.5940734118779836,0.35467916933217836,0.0,0.0078125
