policy,n,regret_mean,regret_median,regret_ci95,rank_pct_mean,found_best_rate,saved_pct_A_mean,saved_pct_A_ci95,saved_pct_B_mean,saved_pct_B_ci95,epochs_avoided_mean,false_continue_rate,false_prune_rate,prune_rate,mean_confidence,total_tokens,total_latency_s
arima,30,0.03270421976871468,0.005196466317805006,0.018337902181366945,0.10909090909090909,0.4666666666666667,0.42370063477030423,0.0943499362158162,0.42370063477030423,0.0943499362158162,164.93333333333334,0.44012282497441146,0.08955987717502559,0.5027777777777778,1.0,0,0.0
early-stopping,30,0.12417758449273357,0.024907178860464032,0.06529531773067387,0.19393939393939394,0.3333333333333333,0.10021637781672672,0.026568119638144896,0.10021637781672672,0.026568119638144896,31.0,0.6340341655716163,0.027266754270696452,0.6777777777777778,1.0,0,0.0
last-seen,30,0.012419202641785572,0.0,0.012275025813074315,0.04848484848484848,0.7,0.4080676831573807,0.09581847953792677,0.4080676831573807,0.09581847953792677,162.83333333333334,0.4402665397429795,0.04854831032841504,0.49166666666666664,1.0,0,0.0
llm:conservative:gemma3:27b:L2,30,0.10915216835713676,0.015888626076149465,0.06310008871250565,0.16666666666666666,0.4,0.3841407164927481,0.07465070268571891,0.3798981835199683,0.07471717137154346,147.8,0.2524190155658393,0.10012620950778292,0.5777777777777777,1.0,953449,4965.730347300298
oracle,30,0.0,0.0,0.0,0.0,1.0,0.47678375289368463,0.04402290976142108,0.47678375289368463,0.04402290976142108,178.36666666666667,0.1425831202046036,0.11381074168797954,0.6305555555555555,1.0,0,0.0
random,30,0.07663327479550805,0.011493969389453886,0.05008573529380168,0.12121212121212123,0.4,0.3176876191353868,0.045266010004600024,0.3176876191353868,0.045266010004600024,110.76666666666667,0.6502278209595282,0.031626909675690165,0.3861111111111111,1.0,0,0.0
