policy,n,regret_mean,regret_median,regret_ci95,rank_pct_mean,found_best_rate,saved_pct_A_mean,saved_pct_A_ci95,saved_pct_B_mean,saved_pct_B_ci95,epochs_avoided_mean,false_continue_rate,false_prune_rate,prune_rate,mean_confidence,total_tokens,total_latency_s
arima,30,0.03270421976871468,0.005196466317805006,0.018337902181366945,0.10909090909090909,0.4666666666666667,0.42370063477030423,0.0943499362158162,0.42370063477030423,0.0943499362158162,164.93333333333334,0.44012282497441146,0.08955987717502559,0.5027777777777778,1.0,0,0.0
early-stopping,30,0.12417758449273357,0.024907178860464032,0.06529531773067387,0.19393939393939394,0.3333333333333333,0.10021637781672672,0.026568119638144896,0.10021637781672672,0.026568119638144896,31.0,0.6340341655716163,0.027266754270696452,0.6777777777777778,1.0,0,0.0
last-seen,30,0.012419202641785572,0.0,0.012275025813074315,0.04848484848484848,0.7,0.4080676831573807,0.09581847953792677,0.4080676831573807,0.09581847953792677,162.83333333333334,0.4402665397429795,0.04854831032841504,0.49166666666666664,1.0,0,0.0
llm:aggressive:gemma3:12b:L2,30,0.14762546531725068,0.05044352787030855,0.06700889460858744,0.24242424242424246,0.23333333333333334,0.6119764060933652,0.030219976363998924,0.6089761598984956,0.03047055239068131,213.93333333333334,0.005494505494505495,0.4157509157509158,0.75,1.0,257503,569.3448330003303
llm:conservative:gemma3:12b:L2,30,0.008095607340819091,0.0,0.00935969804268269,0.024242424242424242,0.7666666666666667,0.16568732803485994,0.054467319300863765,0.16479754530069235,0.05422822053101231,64.93333333333334,0.6388443017656501,0.01384430176565008,0.22777777777777777,1.0,2019399,5318.604673900321
llm:neutral:gemma3:12b:L2,30,0.05098181094739894,0.006787200539196179,0.03554623158408815,0.12727272727272726,0.43333333333333335,0.2912919484919879,0.048586388142843016,0.28884020839020536,0.04870401533899257,102.0,0.5679979777553084,0.05839231547017189,0.6055555555555555,1.0,1441541,4211.060050200729
oracle,30,0.0,0.0,0.0,0.0,1.0,0.47678375289368463,0.04402290976142108,0.47678375289368463,0.04402290976142108,178.36666666666667,0.1425831202046036,0.11381074168797954,0.6305555555555555,1.0,0,0.0
random,30,0.07663327479550805,0.011493969389453886,0.05008573529380168,0.12121212121212123,0.4,0.3176876191353868,0.045266010004600024,0.3176876191353868,0.045266010004600024,110.76666666666667,0.6502278209595282,0.031626909675690165,0.3861111111111111,1.0,0,0.0
