metric,llm,vs,n_pairs,llm_mean,other_mean,wilcoxon_stat,p_value
regret,llm:neutral:llama3.3:70b:L2,arima,8,0.10709626262846798,0.012715013947833823,0.0,0.17971249487899976
regret,llm:neutral:llama3.3:70b:L2,last-seen,8,0.10709626262846798,0.00833856842574915,0.0,0.06788915486182899
regret,llm:neutral:llama3.3:70b:L2,oracle,8,0.10709626262846798,0.0,0.0,0.027707849358079864
regret,llm:neutral:llama3.3:70b:L2,random,8,0.10709626262846798,0.018123370644111667,1.0,0.046399461870904594
saved_pct_B,llm:neutral:llama3.3:70b:L2,arima,8,0.4748691727259412,0.5123236652869609,3.0,0.0390625
saved_pct_B,llm:neutral:llama3.3:70b:L2,last-seen,8,0.4748691727259412,0.4785889285987998,12.0,0.4609375
saved_pct_B,llm:neutral:llama3.3:70b:L2,oracle,8,0.4748691727259412,0.46255564868458354,16.0,0.84375
saved_pct_B,llm:neutral:llama3.3:70b:L2,random,8,0.4748691727259412,0.35467916933217836,3.0,0.0390625
